"Title","Provider","State","Amount","Awards","Deadline","Description","Min GPA","Apply Link"
"Alabama G.I. Dependents' Scholarship Program","Alabama Department of Veterans Affairs","Alabama","Varies","Unspecified","Varies","The Alabama G.I. Dependents' Scholarship Program is available to children and spouses of eligible Alabama veterans who served at least 90 continuous days in federal service, or who have been honorably discharged by reason of a service - related disability. The veteran must have a disability that is least 20 percent due to service or have held the qualifying rating at the time of death. The veteran may also be a former prisoner of war, been declared missing in action, died of a service-related disability or died while on active military service in the line of duty. To be considered for the award, you must be attending a public postsecondary educational institution in Alabama as an undergraduate or graduate student.","--","https://www.fastweb.com/college-scholarships/scholarships/26284-alabama-g-i-dependents-scholarship-program"
"Alabama National Guard Educational Assistance Program","Alabama Commission on Higher Education","Alabama","Up to $1,000","Unspecified","Varies","The Alabama National Guard Educational Assistance Program is open to students who are active members of the Alabama National Guard. You are required to use the award for tuition, educational fees and books/supplies at a postsecondary institution in Alabama.","--","https://www.fastweb.com/college-scholarships/scholarships/661-alabama-national-guard-educational-assistance-program"
"Alabama Student Assistance Program","Alabama Commission on Higher Education","Alabama","Up to $5,000","Unspecified","Varies","The Alabama Student Assistance Program is open to undergraduate students. You must be a resident of Alabama and be attending an eligible Alabama institution to be eligible or this award.","--","https://www.fastweb.com/college-scholarships/scholarships/6266-alabama-student-assistance-program"
"Intel PhD Fellowship Program","Intel Foundation","Alabama","Varies","Unspecified","Varies","The Intel PhD Fellowship Program is open to PhD candidates at select U.S. universities who are working in fields related to Intel's business and research interests. The one - year fellowship includes a cash award, equipment with Intel architecture, an Intel mentor, and the opportunity to conduct research or an internship at Intel.","--","https://www.fastweb.com/college-scholarships/scholarships/49101-intel-phd-fellowship-program"
"Judge John M. McNatt Memorial Scholarship","University of Florida College of Law","Alabama","Varies","Unspecified","Varies","The Judge John M. McNatt Memorial Scholarship is available to students at the University of Florida, Levin College of Law. You must have graduated from college in the southeast United States, have a minimum 3.0 GPA, and demonstrate financial need to be eligible for this award.","3","https://www.fastweb.com/college-scholarships/scholarships/66977-judge-john-m-mcnatt-memorial-scholarship"
"Police Officer's and Firefighter's Survivors Educational Grant","Alabama Commission on Higher Education","Alabama","Varies","Unspecified","Varies","The Police Officers and Firefighters Survivors Educational Grant awards tuition, fees, books and supplies to students who are dependents or spouses of police officers or firefighters killed in the line of duty in Alabama. You must be enrolled in an undergraduate program at a public, postsecondary educational institution in Alabama. There is no limit on the amount awarded to recipients.","--","https://www.fastweb.com/college-scholarships/scholarships/6251-police-officer-s-and-firefighter-s-survivors-educational-grant"
"Regions Riding Forward Scholarship Contest","Regions Bank","Alabama","$8,000","4","June 30, 2026","The Regions Riding Forward Scholarship Contest is open to students who are at least 16 years of age and reside or attend school in states with Regions Bank full service branches. To be considered, you must submit a video or essay on an individual you know personally who has inspired you and helped you build the confidence you need to achieve your goals.","--","https://www.fastweb.com/college-scholarships/scholarships/182298-regions-riding-forward-scholarship-contest"
"California Dream Act Service Incentive Grant (DSIG)","California Student Aid Commission","California","Up to $4,500","Unspecified","June 30, 2026","The California Dream Act Service Incentive Grant (DSIG) is available to undocumented students who demonstrate sufficient financial need (determined by CSAC and verified by their institution), complete a California Dream Act Application (CADAA) for the academic year, are active recipients of a Cal Grant A or B award, and complete 300 service hours at a qualifying organization. Service must be related to the student’s field of study or a community need and cannot involve political, social, or religious advocacy.","--","https://www.fastweb.com/college-scholarships/scholarships/191939-california-dream-act-service-incentive-grant-dsig"
"Directing Change Student Film Contest","Each Mind Matters","California","Up to $1,000","11","Varies","The Directing Change Student Film Contest is open to students between the ages of 12 and 25 in California. You must submit a film of no more than 60 seconds related to mental health and / or suicide prevention to be considered for this award. Up to 10 students or youth may be listed on the entry form, however there is no limit on the number of students who can be on a team.","--","https://www.fastweb.com/college-scholarships/scholarships/168509-directing-change-student-film-contest"
"Fiat Lux Scholarship","University of California, Berkeley","California","Varies","Unspecified","Varies","The Fiat Lux Scholarship is available to freshmen who graduated from one of the partner high schools and who attended a partner high school in California for at least three years enrolled to attend UCLA. You must be from an underrepresented population or first-generation college students, U.S. citizens or eligible noncitizens (California Dream Act Application or hold a permanent resident card), and demonstrate financial need to be eligible for this award.","--","https://www.fastweb.com/college-scholarships/scholarships/175787-fiat-lux-scholarship"
"Intel PhD Fellowship Program","Intel Foundation","California","Varies","Unspecified","Varies","The Intel PhD Fellowship Program is open to PhD candidates at select U.S. universities who are working in fields related to Intel's business and research interests. The one - year fellowship includes a cash award, equipment with Intel architecture, an Intel mentor, and the opportunity to conduct research or an internship at Intel.","--","https://www.fastweb.com/college-scholarships/scholarships/49101-intel-phd-fellowship-program"
"State of California College Fee Waiver for Veteran Dependents","State of California","California","100% of tuition","Unspecified","Varies","The State of California College Fee Waiver for Veteran Dependents is available to dependents and spouses of U.S. military veterans who meet certain conditions. This benefit waives mandatory system-wide tuition and fees at any State of California Community College, California State University, or University of California campus.","--","https://www.fastweb.com/college-scholarships/scholarships/184056-state-of-california-college-fee-waiver-for-veteran-dependents"
"Veterans Dependents Educational Assistance Program","California Department of Veterans Affairs","California","Varies","Unspecified","Varies","The Veterans Dependents Educational Assistance Program is open to the spouses, children or unmarried surviving spouses of a California veteran who was service-connected disabled or who has died of service-related causes. The veteran must have served during a ""qualifying war period."" This fee waiver must be used at any State of CA Community College, Campus of the University of California, or the Campus of the California State University system. Children may not be over 27 years of age and spouses or surviving spouses can be any age. You cannot receive this waiver if you are currently in receipt of VA Chapter 35 benefits.","--","https://www.fastweb.com/college-scholarships/scholarships/765-veterans-dependents-educational-assistance-program"
"Vivienne Camp Scholarship","Jewish Family and Children's Services","California","Up to $4,350","4","Varies","The Vivienne Camp Scholarship is awarded to two young Jewish men and two young Jewish women for college or vocational studies at a postsecondary California institution. You must reside in Marin, San Francisco, San Mateo or Sonoma counties in California. You must also demonstrate academic achievement and financial need. Deadlines vary; therefore, it is encouraged that you apply early.","--","https://www.fastweb.com/college-scholarships/scholarships/23886-vivienne-camp-scholarship"
"Western Undergraduate Exchange Program","Western Interstate Commission for Higher Education","California","Varies","Unspecified","Varies","The Western Undergraduate Exchange Program is open to students residing in WICHE states who wish to attend a participating school outside of their state of residence. Participating states include: Alaska, Arizona, California, Colorado, Hawaii, Idaho, Montana, Nevada, New Mexico, North Dakota, Oregon, South Dakota, Utah, Washington, Wyoming, and the Commonwealth of the Northern Mariana Islands. Although this award allows for a reduction in tuition, each institution retains its own requirements for admission.","--","https://www.fastweb.com/college-scholarships/scholarships/100374-western-undergraduate-exchange-program"
